model,f1_macro_mean,f1_macro_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std
Gradient_Boosting_Extracted,0.8062754557594989,0.0008593321498509802,0.8127751226066691,0.0007074208399775938,0.9037201056838468,0.00012226530596650933
Gradient_Boosting_Raw,0.828388453813369,0.000548865150446022,0.8336122432419656,0.0004741432054357366,0.9198265886885065,7.076581512351196e-05
MLP_Extracted,0.7976054591501803,0.003433477340021254,0.8022408690769254,0.0030202378073853633,0.8903972503454125,0.0012090227373509795
MLP_Raw,0.8081202524697978,0.0016141111741308917,0.8104852656719682,0.0011979683426518166,0.893932491293666,0.002017005508314214
Random_Forest_Extracted,0.820010876790711,0.0009279575399389639,0.8207113218264054,0.0009416524387846613,0.914615153944559,9.258007501697997e-05
Random_Forest_Raw,0.8404615145798421,0.0005917440382280123,0.8398458868038622,0.0005537271662036714,0.9303533598292691,0.00018049371846580778
SVM_Extracted,0.7632400453151114,0.0026585916148271858,0.7613863933976349,0.003492347495543129,0.8564638922585823,0.0005093734876738552
SVM_Raw,0.757544764907453,0.0017970793181837721,0.7558269087112532,0.0024204403377400064,0.8499193156113313,0.0007075056125445168
